passenger_id,age_group,gender,nationality,language_preference,travel_persona
de75c1b7-e398-496e-b779-71848d852298,16-22,M,Rest of Pacific,FJ,Business
53cabf28-fb48-48ac-98cb-2fe4c0391c5e,16-22,M,Australia,EN,VFR
d17d0c64-4a81-47f7-99a9-0a4bf3296905,31-45,F,USA,EN,VFR
b7d8825b-fa2c-4a99-a7bd-d51ce8978040,23-30,F,Australia,EN,Leisure
f1104b71-b57c-4ad1-bcf0-a5a1d1274cc1,23-30,M,Fiji,EN,Leisure
0e50050f-32c0-41ef-a06e-ebdcb926da35,23-30,F,Australia,EN,Leisure
d1d1ed6d-13df-4e2f-ba61-a04509ac58ff,16-22,M,USA,EN,Business
74b964ea-3588-42c7-a8aa-8c25c6bb8c7a,61+,F,Australia,FJ,Leisure
dd81456e-7334-4037-8a99-6fb338dfa892,16-22,M,Rest of Pacific,HI,VFR
18cc48f0-06b2-48da-bcff-bbce6b258ce8,61+,M,Australia,FJ,Leisure
4309523d-6579-43c0-8638-d678d35b1572,46-60,M,Fiji,EN,VFR
ffe58251-0cf0-4795-ba74-fe0b4b0616bf,16-22,M,New Zealand,EN,Business
3b2951d1-0e01-4077-b100-11d034fd781e,16-22,F,Australia,HI,VFR
7981b122-3789-44fa-8f76-4c4a982378c8,16-22,F,Japan,EN,VFR
a6a26ec2-ef84-42fc-9498-3accb5aaffd0,23-30,M,Australia,EN,Leisure
153eccf4-f8ee-4255-a828-8560645906b4,23-30,M,Australia,FJ,Leisure
56b0dbd4-a516-4fee-87db-d6e4abd32570,61+,M,Fiji,EN,VFR
39ad36ae-22a8-4647-96e2-f556736cc96f,61+,M,Other,FJ,Leisure
e2e6052a-e8b1-43b9-bc0a-4996fdcaa427,16-22,M,Singapore,FJ,VFR
c5baa311-bc8d-44fa-a817-1b28534bb055,61+,F,Australia,EN,Leisure
e4d6b685-c13f-4584-8fb4-3a1ff67ab7f6,23-30,F,New Zealand,EN,Leisure
69d4028a-2b46-49b0-88b3-65e3c4bc8d5d,61+,M,Australia,FJ,Business
bdf22acb-cf75-497a-852d-61a52aa60298,46-60,F,Fiji,EN,VFR
73ae6b4c-a3dc-4630-ac83-9d35bc9d3046,23-30,F,New Zealand,FJ,Leisure
ffbdd598-8ac9-43f5-95a0-a5394de73b27,46-60,F,Fiji,EN,Leisure
c4698a20-1379-43c7-9fca-65345c026f0d,61+,M,New Zealand,EN,Business
edc8b685-84db-4de2-8acf-03252dc02995,31-45,F,Australia,EN,VFR
2562ebcb-02b5-4749-ab44-bbb8ccb148a8,16-22,M,Australia,EN,Leisure
1a66d147-8587-4665-9155-82f8a25a980a,23-30,F,Singapore,FJ,VFR
bca4af31-1879-429f-bfdb-4a3ecb9bba20,46-60,F,Australia,FJ,Business
3846a409-dd95-4084-805c-cd4274866972,31-45,F,Japan,EN,Leisure
dcce733c-f6f8-4739-a617-a28dab0fbffb,31-45,M,Fiji,FJ,VFR
2c4dae6f-7db6-4c2a-8204-f1ea4c147648,23-30,M,Fiji,EN,Leisure
9648d797-8194-4a0f-b85b-5b3293eb561d,23-30,M,Australia,HI,Leisure
277da1f1-a7c0-44f4-b071-f5b9b109ee49,31-45,F,USA,EN,VFR
3f88e57d-bc5a-4600-ac07-30530704ef12,16-22,Non-Binary,Australia,EN,Leisure
5987a813-ad0e-45ec-9325-41d9fce16d08,16-22,M,Australia,FJ,Business
a3f2a537-902a-4080-b8dd-0e98be4895c8,46-60,M,Australia,HI,Leisure
ac25bc94-e0e6-45e0-ac94-10cefc1805d6,16-22,M,Fiji,HI,Leisure
46d8c5ef-1683-43e3-9cfb-56dad980f8a6,31-45,F,USA,EN,VFR
0fea547f-b1fa-4c6c-a1a8-1ccfe1679635,31-45,M,New Zealand,FJ,Business
bebb022d-f7dd-4507-a16f-424c37e80950,61+,M,Singapore,EN,Leisure
2d191809-263c-430b-96db-7b0c90f3892b,31-45,M,New Zealand,FJ,Leisure
98f9fc29-2b92-4c3e-beb1-95efc4fc9ae8,16-22,F,Australia,FJ,Leisure
e1c8dd89-6e1e-45b9-ab1d-56b9858c0139,46-60,F,Fiji,HI,Leisure
8c829afd-2345-471b-889e-192dfc04677a,61+,M,Australia,HI,VFR
016fb862-3ba2-42fd-84c6-54c4b19d446d,16-22,M,New Zealand,FJ,Business
993ea77e-96dc-49ee-8b26-825ff82d9a82,46-60,F,Australia,EN,VFR
812d2b3d-1ff7-40c0-9727-0f9cb84fb7ff,16-22,F,New Zealand,EN,Leisure
c10d5aca-edf2-46bc-80c0-77a9ca8bd1e3,61+,F,Japan,FJ,VFR
88bc8975-aa82-4793-a0a0-271837489a28,31-45,F,Australia,EN,VFR
841cc407-98b5-4bb8-8e07-8fdf20de413f,61+,F,Australia,EN,Business
4f9c2ce6-2f89-4c33-ab59-4aa002e21536,31-45,M,Australia,EN,Business
4d070d44-64b5-4afb-86a0-8ca0549ded05,61+,F,Australia,FJ,Leisure
bebbe645-2e23-413b-8efd-c808f917bc4f,23-30,M,USA,FJ,VFR
83d6b1f5-45b7-4260-8067-9c0ea803585e,16-22,F,New Zealand,EN,Leisure
96f0237e-b1de-4f6b-965c-8a922d1ccc4d,16-22,M,Australia,HI,Leisure
3009edd8-c446-41e4-b1fb-a55d4a8cb4f2,23-30,F,New Zealand,FJ,Business
6b46636d-35bc-41ea-976e-79a977a0c792,31-45,F,Fiji,EN,VFR
745543ba-8a62-45fa-98bc-022e9ea55975,16-22,M,Australia,FJ,Leisure
ce56bb38-0e55-4f5e-9fff-439701d8b08b,23-30,F,Rest of Pacific,HI,Leisure
28d4a6a3-642f-4fde-ad71-4847e990f7f8,16-22,M,Hong Kong,EN,VFR
83fa5815-0f2f-4be1-8df0-0ead8f84a7c8,46-60,Non-Binary,Japan,EN,Leisure
103c1938-19d7-44d2-82ca-57d86aa769cd,31-45,F,Australia,EN,Business
d6adff0d-cf71-4712-9920-074cbc90e0e1,46-60,F,New Zealand,EN,Leisure
ab524780-e281-44fb-b0b6-614906506e9d,31-45,F,Other,EN,Business
be282501-765f-4a52-9e54-8169398e8dd9,23-30,F,USA,FJ,VFR
d7716f32-fda4-4f72-8b8d-55d1f2d30eab,31-45,M,Australia,FJ,VFR
b69ffdc4-c00d-4ca7-b7e1-c04c2097b270,31-45,F,Hong Kong,EN,Business
85bed0d6-2ba7-4266-843c-c648dd6fdd9b,23-30,F,New Zealand,FJ,VFR
248c7b20-d572-491f-aafa-55658b0ee84c,31-45,F,Australia,EN,Leisure
f9a51603-12cb-4e89-8f74-17a56718a4ab,16-22,F,Australia,EN,Business
e3c06ede-f281-41cb-911c-57b538b1b9b6,61+,M,New Zealand,EN,Leisure
3ad5ad28-0051-4e32-9546-fe61d31babc5,23-30,F,Fiji,EN,Business
1d1d0a5e-bffd-4a56-aefd-a9c3cb6b0284,61+,F,Australia,FJ,Leisure
14e1d895-973f-4924-8c3d-54cd8092e3c2,23-30,M,Fiji,EN,Business
