loyalty_id,passenger_id,tier_level,points_balance,status
TC-211760,de75c1b7-e398-496e-b779-71848d852298,Tabua Club / Oneworld Ruby,82148,Active
TC-546768,0e50050f-32c0-41ef-a06e-ebdcb926da35,Tabua Club / Oneworld Ruby,342613,Active
TC-713805,d1d1ed6d-13df-4e2f-ba61-a04509ac58ff,Elite (Tabua Plus / Oneworld Sapphire/Emerald),133976,Active
TC-373995,dd81456e-7334-4037-8a99-6fb338dfa892,Tabua Club / Oneworld Ruby,449254,Active
TC-662146,153eccf4-f8ee-4255-a828-8560645906b4,Tabua Club / Oneworld Ruby,223068,Active
TC-692099,56b0dbd4-a516-4fee-87db-d6e4abd32570,Tabua Club / Oneworld Ruby,192702,Active
TC-741603,39ad36ae-22a8-4647-96e2-f556736cc96f,Elite (Tabua Plus / Oneworld Sapphire/Emerald),145473,Active
TC-813666,3846a409-dd95-4084-805c-cd4274866972,Tabua Club / Oneworld Ruby,209380,Active
TC-891645,2c4dae6f-7db6-4c2a-8204-f1ea4c147648,Tabua Club / Oneworld Ruby,107794,Active
TC-533301,3f88e57d-bc5a-4600-ac07-30530704ef12,Tabua Club / Oneworld Ruby,290461,Active
TC-921861,ac25bc94-e0e6-45e0-ac94-10cefc1805d6,Tabua Club / Oneworld Ruby,293323,Active
TC-605904,bebb022d-f7dd-4507-a16f-424c37e80950,Tabua Club / Oneworld Ruby,94700,Active
TC-488196,2d191809-263c-430b-96db-7b0c90f3892b,Tabua Club / Oneworld Ruby,294126,Active
TC-681866,8c829afd-2345-471b-889e-192dfc04677a,Tabua Club / Oneworld Ruby,254629,Active
TC-366105,c10d5aca-edf2-46bc-80c0-77a9ca8bd1e3,Elite (Tabua Plus / Oneworld Sapphire/Emerald),161774,Active
TC-705711,841cc407-98b5-4bb8-8e07-8fdf20de413f,Tabua Club / Oneworld Ruby,181541,Active
TC-911801,bebbe645-2e23-413b-8efd-c808f917bc4f,Tabua Club / Oneworld Ruby,370882,Active
TC-517469,83d6b1f5-45b7-4260-8067-9c0ea803585e,Elite (Tabua Plus / Oneworld Sapphire/Emerald),386761,Active
TC-244775,6b46636d-35bc-41ea-976e-79a977a0c792,Elite (Tabua Plus / Oneworld Sapphire/Emerald),449265,Active
TC-791308,83fa5815-0f2f-4be1-8df0-0ead8f84a7c8,Tabua Club / Oneworld Ruby,63435,Active
TC-884140,103c1938-19d7-44d2-82ca-57d86aa769cd,Tabua Club / Oneworld Ruby,121466,Active
TC-568288,d6adff0d-cf71-4712-9920-074cbc90e0e1,Elite (Tabua Plus / Oneworld Sapphire/Emerald),411574,Active
TC-833281,1d1d0a5e-bffd-4a56-aefd-a9c3cb6b0284,Tabua Club / Oneworld Ruby,498677,Active
TC-269654,505fad49-b57f-449e-8077-f1f9d9b33f1c,Tabua Club / Oneworld Ruby,53574,Active
TC-324875,5c8805f5-cdb9-4c5d-aded-d4ded3eb228a,Tabua Club / Oneworld Ruby,267518,Active
TC-520018,ff296da7-3036-4c1e-bbd9-78161031fab9,Tabua Club / Oneworld Ruby,413132,Active
TC-454877,f1606877-93ab-4100-8115-dc25eabf6876,Tabua Club / Oneworld Ruby,420878,Active
TC-677321,c28d11db-4ba3-4ae9-bd14-264a776994dd,Tabua Club / Oneworld Ruby,322926,Active
TC-830917,0d57c64c-bfcb-4699-9722-cc4fd994758b,Elite (Tabua Plus / Oneworld Sapphire/Emerald),359908,Active
TC-841122,7678f06a-079f-41c9-a655-38c32d4ae7ce,Elite (Tabua Plus / Oneworld Sapphire/Emerald),28290,Active
TC-268546,faceb2d2-b154-4786-a411-444c7db92d39,Tabua Club / Oneworld Ruby,205002,Active
TC-766764,52c5b524-b417-4f01-b490-bcc1d1a13f84,Tabua Club / Oneworld Ruby,3773,Active
TC-943442,d3a79641-c3b6-4f36-b6d2-da4f9fb2d06a,Elite (Tabua Plus / Oneworld Sapphire/Emerald),48756,Active
TC-963245,fae17620-9c50-4189-8b28-a9f325439b3e,Tabua Club / Oneworld Ruby,77193,Active
TC-594580,1932c8e8-7d83-4c58-9bff-26d20372abca,Tabua Club / Oneworld Ruby,486418,Active
TC-729402,92ae796f-5233-4e8b-b419-5d312e30e902,Elite (Tabua Plus / Oneworld Sapphire/Emerald),229263,Active
TC-192422,162164be-4d27-4879-be7c-07d95cfdec50,Elite (Tabua Plus / Oneworld Sapphire/Emerald),34596,Active
TC-375871,a4b7a325-edd9-4648-b3cb-47e1c0e89e54,Tabua Club / Oneworld Ruby,117271,Active
